,symbol,period,pin,alpha,delta,mu,eps_b,eps_s
690,TPIS3,2023-06-29,0.2239624891994184,0.2333354800249567,0.3571442509941624,239.38222976606647,85.74422654960581,107.79995375367612
9866,CMIN3,2023-06-29,0.1758548775837215,0.4000112016703553,0.3333484919648173,4482.8401351735165,4281.435578489612,4122.344503066328
11086,PDGR3,2023-06-29,0.1966317588099079,0.3333325765203708,0.2999177882992286,293.34571856624814,193.83877385488063,205.6628128494445
14834,SGPS3,2023-06-29,0.2523832434592636,0.2166708084194643,0.076920170636218,948.3262934254928,206.4457638773673,402.2169600051868
17998,TRAD3,2023-06-29,0.2480298714696962,0.0833229763125891,5.8316388054006194e-08,5110.592362237154,585.6007577523314,705.418191823404
19332,TRIS3,2023-06-29,0.1985409822261561,0.4833324002777337,0.2758689706658719,754.2103546585879,681.3233279450617,790.2081391288225
21161,CAMB3,2023-06-29,0.2360910188453387,0.1500221156949439,0.3332877524010503,247.15118190565815,60.34583840401588,59.62622465083333
22327,OPCT3,2023-06-29,0.2894508839441928,0.3666644015755984,0.3181855401923593,659.1221802415994,249.12585056089648,344.1462114536221
28218,NINJ3,2023-06-29,0.1828149597142547,0.2666692962000728,0.1249932309921696,368.2314980100558,204.5015599926299,234.43587960829169
28745,BRPR3,2023-06-29,0.1762494895782084,0.250000181394144,0.0666663230721354,330.67913669901435,168.20002301537,218.1802523807446
44930,HBSA3,2023-06-29,0.2218735469299378,0.5833366159098947,0.1714303433267237,2533.537944000921,2361.3995285830174,2821.720956524421
45415,TFCO4,2023-06-29,0.2103004670858523,0.1666677886960662,0.2999959008410783,720.6328605729623,192.6355294827701,258.3757247582001
46401,INEP3,2023-06-29,0.240334724908051,0.4500043093109564,0.1111167727886171,188.52764056241415,127.82111183510295,140.34102355235825
47207,VVEO3,2023-06-29,0.2313121338605663,0.4666683469943733,0.0357165083369252,354.24516516002154,178.44597589395008,370.9226923970144
47695,RCSL3,2023-06-29,0.198278094870023,0.4333346545057849,0.0384591731606392,1242.270178328503,1004.1103870315294,1172.5390752752835
53279,CSAN3,2023-06-29,0.175604636530741,0.5499983108356037,0.2727250123572978,6948.47055589593,8403.867305875454,9537.276996689528
55715,MBLY3,2023-06-29,0.2400535360359763,0.2999996539525823,0.05555785846823,1209.8437906089457,522.7476267667996,626.2653791636071
57132,AURA33,2023-06-29,0.2976165002210339,0.5166727484264788,0.290303287103378,3345.0574160042465,1646.7415359855263,2432.0961895009123
58625,ATMP3,2023-06-29,0.3979420304736523,0.1499998899230081,0.1111088682548795,603.280405857169,27.542381250778003,109.365565831171
64870,PRNR3,2023-06-29,0.2352527040453044,0.3333337406141379,0.3499952199175073,474.598782285652,243.6401879645721,270.62748057605324
68033,VITT3,2023-06-29,0.2515865276180391,0.3666652982244246,0.0909099908827084,523.038349156722,224.29099040516388,346.2115173408609
68985,HBRE3,2023-06-29,0.2849877641877116,0.2499982236410613,0.2666700794341549,498.1802714343151,188.24136543348243,124.23034693934608
