,symbol,period,pin,alpha,delta,mu,eps_b,eps_s
68965,HBRE3,2023-05-31,0.4254702192136553,0.2333330106265642,0.1428580723978313,463.51982271229286,83.40278992989616,62.64260742008268
72188,APER3,2023-05-31,0.2145943739465523,0.2504180842460516,0.1329809915487447,74.83985195792721,26.5298700218413,42.06225924178929
80230,MOAR3,2023-05-31,0.2872842909952184,0.3868424759799054,0.1145111220026643,6.671373843767945,1.7625599120747415,4.640003440624133
86563,VIVR3,2023-05-31,0.2312750006089569,0.1833348923571139,0.1818257236780751,1140.893491154966,308.8813821521612,386.3550856009068
88643,PINE4,2023-05-31,0.344001172322995,0.1499994528432405,0.2222200557868137,664.4591838412041,78.97821349545822,111.08633746876562
14834,SGPS3,2023-06-29,0.2523832434592636,0.2166708084194643,0.076920170636218,948.3262934254928,206.4457638773673,402.2169600051868
17998,TRAD3,2023-06-29,0.2480298714696962,0.0833229763125891,5.8316388054006194e-08,5110.592362237154,585.6007577523314,705.418191823404
28218,NINJ3,2023-06-29,0.1828149597142547,0.2666692962000728,0.1249932309921696,368.2314980100558,204.5015599926299,234.43587960829169
44930,HBSA3,2023-06-29,0.2218735469299378,0.5833366159098947,0.1714303433267237,2533.537944000921,2361.3995285830174,2821.720956524421
46401,INEP3,2023-06-29,0.240334724908051,0.4500043093109564,0.1111167727886171,188.52764056241415,127.82111183510295,140.34102355235825
47207,VVEO3,2023-06-29,0.2313121338605663,0.4666683469943733,0.0357165083369252,354.24516516002154,178.44597589395008,370.9226923970144
47695,RCSL3,2023-06-29,0.198278094870023,0.4333346545057849,0.0384591731606392,1242.270178328503,1004.1103870315294,1172.5390752752835
55715,MBLY3,2023-06-29,0.2400535360359763,0.2999996539525823,0.05555785846823,1209.8437906089457,522.7476267667996,626.2653791636071
58625,ATMP3,2023-06-29,0.3979420304736523,0.1499998899230081,0.1111088682548795,603.280405857169,27.542381250778003,109.365565831171
68033,VITT3,2023-06-29,0.2515865276180391,0.3666652982244246,0.0909099908827084,523.038349156722,224.29099040516388,346.2115173408609
68985,HBRE3,2023-06-29,0.2849877641877116,0.2499982236410613,0.2666700794341549,498.1802714343151,188.24136543348243,124.23034693934608
70882,LIGT3,2023-06-29,0.1997914066148654,0.3500052446419563,0.1428557375187114,6539.171116206295,4491.587689710461,4675.336939108751
16243,AZEV4,2023-07-31,0.2370200051401098,0.2999997505224975,0.1666716504001079,799.1398411495525,310.1334563886277,461.6079894286163
18018,TRAD3,2023-07-31,0.2762795324675459,0.1833305965767568,0.0909118101302947,3135.882559383103,649.6975918185792,856.2743625362838
28766,BRPR3,2023-07-31,0.2254122469086713,0.416695328455277,2.0581749925643e-08,256.4779378432684,133.80036864589,233.449596177165
30451,PDTC3,2023-07-31,0.2174828508848935,0.2001609840418082,0.1665342128272791,240.97621480506731,75.48785291018986,98.06128170572964
55735,MBLY3,2023-07-31,0.2686426768057272,0.4500031437807719,0.1851804446028366,1246.2567881003947,794.8186193139325,731.965706822713
58646,ATMP3,2023-07-31,0.3247290255803535,0.2000001234074476,0.0,541.1878103052712,57.56246202695736,167.5166757871212
68053,VITT3,2023-07-31,0.2364834702576969,0.3500006242994873,0.2380939630891925,514.0017638003269,240.4478921228706,340.38483964616
70902,LIGT3,2023-07-31,0.2451520874868349,0.366659525470548,0.0909014351960272,6852.06836767918,3380.3642094527486,4355.494380570401
81616,EVEN3,2023-07-31,0.2087948190706442,0.4666681908841245,0.1428564015696036,1468.636705950721,1185.6909317966984,1411.4288619200656
84347,CSED3,2023-07-31,0.2127066356618966,0.45000419328087,0.2592609328662123,582.0872737119297,477.2718670722327,492.2558237500712
89553,WEST3,2023-07-31,0.2593171412016661,0.0833339015550165,0.2000077842720568,1870.289208633256,196.68546052347293,248.4903440403916
14874,SGPS3,2023-08-28,0.2304138127739678,0.2166672319350929,0.0,785.2486811430683,185.2126798255217,383.05009072123926
16263,AZEV4,2023-08-28,0.2881686126235067,0.5000003340215169,0.0333315398146768,904.1669019138308,365.21189708944667,751.5211230542428
18038,TRAD3,2023-08-28,0.2103999677634245,0.1166610779888534,0.0,4025.9159126461545,771.9434216936007,990.650115336619
28786,BRPR3,2023-08-28,0.2608950899101609,0.5642444148248771,3.9900811453420186e-11,255.27203565348844,135.09745344070726,272.9500192319093
31799,RCSL4,2023-08-28,0.4525914404250683,0.3833317754153337,0.0869576333908644,2286.2209769980054,541.150307126625,518.8311639703231
33229,LUPA3,2023-08-28,0.1915844402630082,0.2833322810240858,0.0588261749197668,439.2031165902147,206.60769056885485,318.4849126844372
55755,MBLY3,2023-08-28,0.2390716316381595,0.4499975660850411,0.185192693868168,1204.8907136994478,878.5982549759526,847.1345383572425
70922,LIGT3,2023-08-28,0.2343111908624724,0.3999963251654818,0.0416700649909169,3960.892501243295,1858.1923030568903,3319.1672392483115
73099,ENEV3,2023-08-28,0.1871231991178352,0.5166783693286763,0.1935246141614587,5411.780741237259,5332.389752766205,6814.289637948611
81636,EVEN3,2023-08-28,0.198175995935724,0.4666708785216445,0.2142891288061814,1446.6033334771723,1244.317619101841,1487.1003756137616
89573,WEST3,2023-08-28,0.3192318973994097,0.2666634427928942,0.2499979937750653,1390.226346394897,325.66340222073745,464.909484711469
