,symbol,period,pin,alpha,delta,mu,eps_b,eps_s
54942,VIIA3,2023-04-28,0.1972315094121222,0.4000003822629424,0.7083260578245267,8757.549933525821,7250.803723927805,7007.144979873185
72165,APER3,2023-04-28,0.2682952934094262,0.3235009038728414,0.7423639964900541,77.79300817733497,38.288024445208265,30.345904137766297
78869,SLCE3,2023-04-28,0.1907170304989799,0.5666714198083327,1.0,2301.321450401295,3392.8657104554886,2140.8841001503824
86773,NEOE3,2023-04-28,0.1993430483098793,0.4666687462803069,0.8571447115471873,3308.805258861609,3618.2842620367487,2583.6235625401787
87330,PLPL3,2023-04-28,0.2896191050871265,0.4000034250461088,0.7916660246981118,1144.253955677102,683.4794364236931,439.18560181187
12283,MULT3,2023-05-31,0.1660458279546776,0.5500005812332852,1.0,5600.373929162234,9253.885224981908,6216.260023752973
14077,ANIM3,2023-05-31,0.1901671392136878,0.183334091753961,0.7272670961808005,8907.206976884576,3659.74674788439,3294.4135553461783
15300,ENBR3,2023-05-31,0.1620333453431859,0.3333332592006074,0.7499983901058634,3328.5068555805574,2940.9352820305253,2796.9312633968884
20166,MELK3,2023-05-31,0.3005006272389471,0.1333382340485114,1.0,2007.5178686714587,305.11672625640347,317.98085453304714
34248,FHER3,2023-05-31,0.2128257443859897,0.3499441802679063,0.9523732949379656,171.60531941864417,128.34388629190764,93.77027181343612
36248,ALPK3,2023-05-31,0.3413566054984543,0.3499993947477783,0.8571432690708185,1197.3500237871374,378.49898006302806,430.0948999490009
42443,MDNE3,2023-05-31,0.1918317331984931,0.2000006125765817,0.9166685368838134,618.3201082201301,255.7249587900704,265.2610244985261
56879,LAND3,2023-05-31,0.237777558133115,0.1666670912124375,1.0,248.6196930762705,82.2500013079489,50.580022516378
59125,IRBR3,2023-05-31,0.2344213059521418,0.5000048340502261,0.9000068866370771,3139.0354247029595,3152.757745070576,1973.0602035701215
77917,CLSC4,2023-05-31,0.4186461846900356,0.3001384683423991,0.833410103508829,40.659695349361854,8.839919673967831,8.106547377458835
87353,PLPL3,2023-05-31,0.198597139454352,0.3833296921686575,0.8260871064642052,1076.404881612186,965.5689839270036,699.4761818165257
8667,CASH3,2023-06-29,0.1967210325889435,0.3833374174189719,0.782621541095159,3566.3330476186147,3157.804502124779,2424.5666921623238
